constructorStandingsId,positionText,wins
1,1,1
2,3,0
3,2,0
4,4,0
5,5,0
6,6,0
7,1,1
8,2,0
9,4,0
10,5,0
11,8,0
12,3,1
13,6,0
14,7,0
15,9,0
16,10,0
17,11,0
18,3,1
19,1,0
20,4,0
21,6,0
22,8,0
23,2,2
24,5,0
25,7,0
26,9,0
27,10,0
28,11,0
29,3,1
30,2,0
31,4,0
32,7,0
33,9,0
34,1,3
35,5,0
36,6,0
37,8,0
38,10,0
39,11,0
40,3,1
41,2,0
42,4,0
43,7,0
44,9,0
45,1,4
46,6,0
47,5,0
48,8,0
49,10,0
50,11,0
51,2,2
52,3,0
53,4,0
54,7,0
55,8,0
56,1,4
57,6,0
58,5,0
59,9,0
60,10,0
61,11,0
62,3,2
63,2,1
64,6,0
65,7,0
66,9,0
67,1,4
68,5,0
69,4,0
70,8,0
71,10,0
72,11,0
73,3,2
74,2,1
75,6,0
76,7,0
77,9,0
78,1,5
79,5,0
80,4,0
81,8,0
82,10,0
83,11,0
84,3,3
85,2,1
86,6,0
87,7,0
88,9,0
89,1,5
90,4,0
91,5,0
92,8,0
93,10,0
94,11,0
95,3,4
96,2,1
97,7,0
98,6,0
99,9,0
100,1,5
101,4,0
102,5,0
103,8,0
104,10,0
105,11,0
106,2,5
107,3,1
108,7,0
109,5,0
110,9,0
111,1,5
112,4,0
113,6,0
114,8,0
115,10,0
116,11,0
117,2,5
118,3,1
119,7,0
120,5,0
121,9,0
122,1,6
123,4,0
124,6,0
125,8,0
126,10,0
127,11,0
128,2,5
129,3,1
130,7,0
131,5,0
132,8,0
133,1,7
134,4,0
135,6,0
136,9,0
137,10,0
138,11,0
139,2,5
140,3,1
141,8,0
142,5,0
143,6,1
144,1,7
145,4,0
146,7,0
147,9,0
148,10,0
149,11,0
150,1,5
151,3,1
152,8,0
153,4,1
154,6,1
155,2,7
156,5,0
157,7,0
158,9,0
159,10,0
160,11,0
161,2,5
162,3,1
163,8,0
164,4,2
165,6,1
166,1,7
167,5,0
168,7,0
169,9,0
170,10,0
171,11,0
1643,11,0
1642,10,0
1641,9,0
1640,7,0
1639,5,0
1638,1,7
1637,6,1
1636,4,2
1635,8,0
1634,3,1
1633,2,6
183,2,6
184,3,1
185,8,0
186,4,2
187,6,1
188,1,8
189,5,0
190,7,0
191,9,0
192,10,0
193,11,0
25742,9,0
25741,8,0
25740,7,0
25739,6,0
25738,5,0
25737,4,0
25736,3,0
25735,2,0
25753,9,0
25752,6,0
25751,8,0
25750,7,0
25749,4,0
25748,5,0
25747,3,0
25746,2,0
25764,9,0
25763,6,0
25762,8,0
25761,7,0
25760,4,0
25759,5,0
25758,3,0
25757,2,0
25756,E,1
25755,1,2
25775,10,0
25774,6,0
25773,7,0
25772,8,0
25771,5,0
25770,4,0
25769,3,0
25768,2,0
25767,E,1
25786,8,0
25785,6,0
25784,7,0
25783,9,0
25782,5,0
25781,4,0
25780,3,0
25779,2,0
25778,E,2
25797,8,0
25796,6,0
25795,7,0
25794,9,0
25793,5,0
25792,4,0
25791,3,0
25790,2,0
25789,E,3
25808,8,0
25807,6,0
25806,7,0
25805,9,0
25804,5,0
25803,4,0
25802,3,0
25801,2,0
25800,E,4
25819,9,0
25818,6,0
25817,7,0
25816,8,0
25815,5,0
25814,4,0
25813,3,0
25812,2,0
25811,E,4
25830,9,0
25829,6,0
25828,7,0
25827,8,0
25826,5,0
25825,4,0
25824,3,0
25823,2,0
25822,E,5
25841,9,0
25840,5,0
25839,7,0
25838,8,0
25837,6,0
25836,4,0
25835,3,0
25834,2,0
25833,E,5
25852,9,0
25851,5,0
25850,7,0
25849,8,0
25848,6,0
25847,4,0
25846,3,0
25845,2,0
25844,E,6
25863,9,0
25862,5,0
25861,7,0
25860,8,0
25859,6,0
25858,4,0
25857,3,0
25856,2,0
25855,E,6
25874,9,0
25873,5,0
25872,7,0
25871,8,0
25870,6,0
25869,4,0
25868,3,0
25867,2,0
25866,E,7
25885,9,0
25884,5,0
25883,7,0
25882,8,0
25881,6,0
25880,4,0
25879,3,0
25878,2,0
25877,E,7
25896,10,0
25895,5,0
25894,7,0
25893,8,0
25892,6,0
25891,4,0
25890,3,0
25889,2,0
25888,E,8
25907,7,0
25906,5,0
25905,9,0
25904,8,0
25903,6,0
25902,4,0
25901,3,0
25900,2,0
25899,E,8
25918,7,0
25917,5,0
25916,9,0
25915,8,0
25914,6,0
25913,4,0
25912,3,0
25911,2,0
25910,E,8
6327,11,0
6326,10,0
6325,9,0
6324,8,0
6323,7,0
6322,6,0
6321,5,0
6320,4,0
6319,2,0
6318,3,0
6317,1,1
6338,11,0
6337,10,0
6336,7,0
6335,6,0
6334,9,0
6333,8,0
6332,5,0
6331,4,0
6330,3,0
6329,2,0
6328,1,2
6349,11,0
6348,10,0
6347,6,0
6346,5,0
6345,9,0
6344,8,0
6343,7,0
6342,4,0
6341,2,0
6340,3,0
6339,1,3
6360,11,0
6359,10,0
6358,7,0
6357,5,0
6356,9,0
6355,8,0
6354,6,0
6353,4,0
6352,2,0
6351,3,1
6350,1,3
6371,11,0
6370,10,0
6369,7,0
6368,5,0
6367,9,0
6366,8,0
6365,6,0
6364,4,0
6363,3,0
6362,2,2
6361,1,3
6382,11,0
6381,10,0
6380,7,0
6379,5,0
6378,9,0
6377,8,0
6376,6,0
6375,4,0
6374,3,0
6373,2,2
6372,1,4
6393,11,0
6392,10,0
6391,7,0
6390,5,0
6389,9,0
6388,8,0
6387,6,0
6386,4,0
6385,3,0
6384,2,2
6383,1,5
6404,11,0
6403,10,0
6402,7,0
6401,5,0
6400,9,0
6399,8,0
6398,6,0
6397,4,0
6396,3,0
6395,2,2
6394,1,6
6415,11,0
6414,10,0
6413,6,0
6412,5,0
6411,9,0
6410,8,0
6409,7,0
6408,4,0
6407,3,0
6406,2,2
6405,1,7
6426,11,0
6425,10,0
6424,6,0
6423,5,0
6422,9,0
6421,7,0
6420,8,0
6419,4,0
6418,3,0
6417,2,3
6416,1,7
6437,11,0
6436,10,0
6435,5,0
6434,6,0
6433,9,0
6432,7,0
6431,8,0
6430,4,0
6429,3,0
6428,2,4
6427,1,7
6448,11,0
6447,10,0
6446,5,0
6445,6,0
6444,9,0
6443,7,0
6442,8,0
6441,4,0
6440,3,0
6439,2,5
6438,1,7
6459,11,0
6458,10,0
6457,5,0
6456,6,0
6455,9,0
6454,7,0
6453,8,0
6452,4,1
6451,3,0
6450,2,5
6449,1,7
6470,11,0
6469,10,0
6468,5,0
6467,6,0
6466,9,0
6465,7,0
6464,8,0
6463,4,1
6462,3,0
6461,2,6
6460,1,7
6482,12,0
6481,11,0
6480,10,0
6479,6,0
6478,5,0
6477,9,0
6476,7,0
6475,8,0
6474,4,1
6473,3,0
6472,1,7
6471,2,7
6494,12,0
6493,11,0
6492,10,0
6491,6,0
6490,5,0
6489,9,0
6488,7,0
6487,8,0
6486,4,1
6485,3,0
6484,2,8
6483,1,7
6506,12,0
6505,11,0
6504,10,0
6503,6,0
6502,5,0
6501,9,0
6500,7,0
6499,8,0
6498,4,1
6497,3,0
6496,2,8
6495,1,8
6518,12,0
6517,11,0
6516,10,0
6515,6,0
6514,5,0
6513,9,0
6512,7,0
6511,8,0
6510,4,1
6509,3,0
6508,2,9
6507,1,8
27951,8,0
27950,10,0
27949,7,0
27948,6,0
27947,5,0
27946,4,0
27945,3,0
27944,2,0
27943,1,1
27961,8,0
27960,10,0
27959,7,0
27958,2,0
27957,6,0
27956,5,0
27955,3,0
27954,4,0
27953,1,2
27971,8,0
27970,10,0
27969,7,0
27968,2,0
27967,3,0
27966,4,0
27965,5,0
27964,6,0
27963,1,3
27981,8,0
27980,10,0
27979,7,0
27978,2,0
27977,3,0
27976,5,0
27975,6,0
27974,4,0
27992,9,0
27991,8,0
27990,10,0
27989,7,0
27988,2,0
27987,3,1
27986,4,0
27985,6,0
27984,5,0
28001,8,0
28000,10,0
27999,7,0
27998,3,0
27997,2,2
27996,4,0
27995,6,0
27994,5,0
27993,1,4
28012,10,0
28011,8,0
28010,9,0
28009,7,0
28008,3,0
28007,2,2
28006,4,0
28005,6,0
28004,5,0
28003,1,5
28022,10,0
28021,8,0
28020,9,0
28019,7,0
28018,4,0
28017,2,3
28016,3,0
28015,6,0
28014,5,0
28013,1,5
28032,9,0
28031,8,0
28030,10,0
28029,7,0
28028,5,0
28027,2,3
28026,4,0
28025,6,0
28024,3,1
28023,1,5
28042,9,0
28041,8,0
28040,10,0
28039,7,0
28038,4,0
28037,2,3
28036,5,0
28035,6,0
28034,3,1
28033,1,6
28052,10,0
28051,8,0
28050,9,0
28049,7,0
28048,4,0
28047,2,4
28046,5,0
28045,6,0
28044,3,1
28043,1,6
28062,10,0
28061,9,0
28060,7,0
28059,8,0
28058,4,0
28057,2,4
28056,5,0
28055,6,0
28054,3,1
28053,1,7
28072,10,0
28071,9,0
28070,7,0
28069,8,0
28068,4,0
28067,2,5
28066,5,0
28065,6,0
28064,3,1
28063,1,7
28082,10,0
28081,9,0
28080,7,0
28079,8,0
28078,4,0
28077,2,6
28076,5,0
28075,6,0
28074,3,1
28073,1,7
28092,10,0
28091,9,0
28090,7,0
28089,8,0
28088,4,0
28087,2,7
28086,5,0
28085,6,0
28084,3,1
28083,1,7
28102,10,0
28101,9,0
28100,6,0
28099,8,0
28098,4,0
28097,2,8
28096,5,0
28095,7,0
28094,3,1
28093,1,7
28112,10,0
28111,9,0
28110,6,0
28109,8,0
28108,4,0
28107,1,9
28106,5,0
28105,7,0
28104,3,1
28103,2,7
28122,10,0
28121,9,0
28120,6,0
28119,8,0
28118,4,0
28117,2,10
28116,5,0
28115,7,0
28114,3,1
28113,1,7
28132,10,0
28131,9,0
28130,6,0
28129,8,0
28128,4,0
28127,2,10
28126,5,0
28125,7,0
28124,3,1
28123,1,8
6146,9,0
6145,8,0
6144,7,0
6143,6,0
6142,5,0
6141,4,0
6140,2,0
6139,3,0
6138,1,1
6156,10,0
6155,9,0
6154,7,0
6153,8,0
6152,6,0
6151,5,0
6150,4,0
6149,2,0
6148,3,0
6147,1,2
6166,10,0
6165,9,0
6164,8,0
6163,7,0
6162,6,0
6161,5,0
6160,4,0
6159,3,0
6158,2,0
6157,1,3
6176,10,0
6175,9,0
6174,8,0
6173,7,0
6172,6,0
6171,5,0
6170,3,0
6169,4,0
6168,2,0
6167,1,4
6186,10,0
6185,9,0
6184,8,0
6183,7,0
6182,6,0
6181,5,0
6180,3,0
6179,4,0
6178,2,0
6177,1,5
6196,10,0
6195,8,0
6194,7,0
6193,9,0
6192,5,0
6191,6,0
6190,3,0
6189,4,0
6188,2,1
6187,1,5
6206,10,0
6205,9,0
6204,7,0
6203,8,0
6202,5,0
6201,6,0
6200,3,0
6199,4,0
6198,2,1
6197,1,6
6216,10,0
6215,7,0
6214,8,0
6213,9,0
6212,5,0
6211,6,0
6210,3,0
6209,4,0
6208,2,1
6207,1,7
6226,10,0
6225,8,0
6224,7,0
6223,9,0
6222,6,0
6221,5,0
6220,3,0
6219,4,0
6218,2,1
6217,1,8
6236,10,0
6235,8,0
6234,7,0
6233,9,0
6232,6,0
6231,5,0
6230,3,0
6229,4,0
6228,2,1
6227,1,9
6246,10,0
6245,8,0
6244,7,0
6243,9,0
6242,6,0
6241,5,0
6240,3,0
6239,4,0
6238,2,1
6237,1,10
6256,10,0
6255,9,0
6254,7,0
6253,8,0
6252,6,0
6251,5,0
6250,3,0
6249,4,0
6248,2,1
6247,1,11
