constructorRef,url
mclaren,http://en.wikipedia.org/wiki/McLaren
bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari
toyota,http://en.wikipedia.org/wiki/Toyota_Racing
super_aguri,http://en.wikipedia.org/wiki/Super_Aguri_F1
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India
honda,http://en.wikipedia.org/wiki/Honda_Racing_F1
spyker,http://en.wikipedia.org/wiki/Spyker_F1
mf1,http://en.wikipedia.org/wiki/Midland_F1_Racing
spyker_mf1,http://en.wikipedia.org/wiki/Midland_F1_Racing
sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport
bar,http://en.wikipedia.org/wiki/British_American_Racing
jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix
minardi,http://en.wikipedia.org/wiki/Minardi
jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing
prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix
arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International
benetton,http://en.wikipedia.org/wiki/Benetton_Formula
brawn,http://en.wikipedia.org/wiki/Brawn_GP
stewart,http://en.wikipedia.org/wiki/Stewart_Grand_Prix
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing
lola,http://en.wikipedia.org/wiki/MasterCard_Lola
ligier,http://en.wikipedia.org/wiki/Ligier
forti,http://en.wikipedia.org/wiki/Forti
footwork,http://en.wikipedia.org/wiki/Footwork_Arrows
pacific,http://en.wikipedia.org/wiki/Pacific_Racing
simtek,http://en.wikipedia.org/wiki/Simtek
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus
larrousse,http://en.wikipedia.org/wiki/Larrousse
brabham,http://en.wikipedia.org/wiki/Brabham
dallara,http://en.wikipedia.org/wiki/Dallara
fondmetal,http://en.wikipedia.org/wiki/Fondmetal
march,http://en.wikipedia.org/wiki/March_Engineering
moda,http://en.wikipedia.org/wiki/Andrea_Moda_Formula
ags,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives
lambo,http://en.wikipedia.org/wiki/Modena_(racing_team)
leyton,http://en.wikipedia.org/wiki/Leyton_House
coloni,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems
eurobrun,http://en.wikipedia.org/wiki/Euro_Brun
osella,http://en.wikipedia.org/wiki/Osella
onyx,http://en.wikipedia.org/wiki/Onyx_(racing_team)
life,http://en.wikipedia.org/wiki/Life_(Racing_Team)
rial,http://en.wikipedia.org/wiki/Rial_%28racing_team%29
zakspeed,http://en.wikipedia.org/wiki/Zakspeed
ram,http://en.wikipedia.org/wiki/RAM_Racing
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
spirit,http://en.wikipedia.org/wiki/Spirit_(racing_team)
toleman,http://en.wikipedia.org/wiki/Toleman
ats,http://en.wikipedia.org/wiki/ATS_(wheels)
theodore,http://en.wikipedia.org/wiki/Theodore_Racing
fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29
ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29
shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
wolf,http://en.wikipedia.org/wiki/Walter_Wolf_Racing
merzario,http://en.wikipedia.org/wiki/Merzario
kauhsen,http://en.wikipedia.org/wiki/Kauhsen
rebaque,http://en.wikipedia.org/wiki/Rebaque
surtees,http://en.wikipedia.org/wiki/Surtees
hesketh,http://en.wikipedia.org/wiki/Hesketh_Racing
martini,http://en.wikipedia.org/wiki/Martini_(cars)
brm,http://en.wikipedia.org/wiki/BRM
