driverStandingsId,positionText,wins
1,1,1
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,1,1
10,3,0
11,6,0
12,7,0
13,4,0
14,9,0
15,10,0
16,2,1
17,5,0
18,8,0
19,11,0
20,12,0
21,13,0
22,14,0
23,15,0
24,16,0
25,17,0
26,18,0
27,3,1
28,2,0
29,8,0
30,9,0
31,5,0
32,11,0
33,12,0
34,1,1
35,4,0
36,7,0
37,10,0
38,13,0
39,15,0
40,17,0
41,18,0
42,16,0
43,19,0
44,20,0
45,6,1
46,14,0
47,21,0
48,2,1
49,5,0
50,9,0
51,10,0
52,6,0
53,11,0
54,13,0
55,1,2
56,3,0
57,7,0
58,8,0
59,15,0
60,12,0
61,18,0
62,16,0
63,17,0
64,20,0
65,19,0
66,4,1
67,14,0
68,21,0
69,3,1
70,5,0
71,10,0
72,8,0
73,6,0
74,11,0
75,13,0
76,1,2
77,4,0
78,9,0
79,7,0
80,14,0
81,12,0
82,18,0
83,16,0
84,17,0
85,20,0
86,19,0
87,2,2
88,15,0
89,21,0
90,22,0
91,1,2
92,5,0
93,10,0
94,8,0
95,6,0
96,11,0
97,15,0
98,2,2
99,4,0
100,9,0
101,7,0
102,16,0
103,13,0
104,19,0
105,18,0
106,14,0
107,21,0
108,20,0
109,3,2
110,17,0
111,22,0
112,12,0
113,2,2
114,5,0
115,10,0
116,9,0
117,6,0
118,11,0
119,17,0
120,4,2
121,1,1
122,8,0
123,7,0
124,12,0
125,16,0
126,19,0
127,18,0
128,15,0
129,21,0
130,20,0
131,3,2
132,13,0
133,22,0
134,14,0
135,4,2
136,5,0
137,10,0
138,9,0
139,6,0
140,11,0
141,18,0
142,3,2
143,2,1
144,7,0
145,8,0
146,12,0
147,16,0
148,17,0
149,19,0
150,15,0
151,21,0
152,20,0
153,1,3
154,13,0
155,22,0
156,14,0
157,1,3
158,5,0
159,11,0
160,9,0
161,6,0
162,12,0
163,17,0
164,3,2
165,4,1
166,7,0
167,8,0
168,13,0
169,16,0
170,18,0
171,19,0
172,10,0
173,21,0
174,20,0
175,2,3
176,14,0
177,22,0
178,15,0
179,1,4
180,5,0
181,12,0
182,9,0
183,6,0
184,13,0
185,18,0
186,3,2
187,4,1
188,7,0
189,8,0
190,14,0
191,17,0
192,11,0
193,19,0
194,10,0
195,22,0
196,20,0
197,2,3
198,16,0
199,21,0
200,15,0
201,1,4
202,5,0
203,13,0
204,8,0
205,6,1
206,14,0
207,18,0
208,2,2
209,4,1
210,7,0
211,9,0
212,15,0
213,17,0
214,11,0
215,19,0
216,12,0
217,22,0
218,20,0
219,3,3
220,10,0
221,21,0
222,16,0
223,1,4
224,6,0
225,13,0
226,8,0
227,5,1
228,15,0
229,18,0
230,3,2
231,4,1
232,7,0
233,9,0
234,16,0
235,17,0
236,11,0
237,19,0
238,12,0
239,22,0
240,20,0
241,2,4
242,10,0
243,21,0
244,14,0
245,1,4
246,5,0
247,14,0
248,8,0
249,6,1
250,15,0
251,17,0
252,4,2
253,3,1
254,7,0
255,9,0
256,16,0
257,18,0
258,11,0
259,19,0
260,13,0
261,22,0
262,21,0
263,2,5
264,10,0
265,20,0
266,12,0
267,1,4
268,5,0
269,14,0
270,7,0
271,6,1
272,15,0
273,17,0
274,4,2
275,3,1
276,8,0
277,10,0
278,16,0
279,18,0
280,12,0
281,19,0
282,13,0
283,22,0
284,21,0
285,2,5
286,11,0
287,20,0
288,9,1
289,1,4
290,5,0
291,12,0
292,7,1
293,6,1
294,15,0
295,17,0
296,4,2
297,3,1
298,9,0
299,11,0
300,16,0
301,18,0
302,13,0
303,19,0
304,14,0
305,22,0
306,21,0
307,2,5
308,10,0
309,20,0
310,8,1
311,1,4
312,5,0
313,13,0
314,7,2
315,6,1
316,15,0
317,17,0
318,4,2
319,3,1
320,9,0
321,10,0
322,16,0
323,18,0
324,12,0
325,19,0
326,14,0
327,22,0
328,21,0
329,2,5
330,11,0
331,20,0
