raceId,driverId,constructorId,grid,position,points,fastestLap,fastestLapSpeed,statusId
18,1,1,1,1,10.0,39,218.300,1
18,2,2,5,2,8.0,41,217.586,1
18,3,3,7,3,6.0,41,216.719,1
18,4,4,11,4,5.0,58,215.464,1
18,5,1,3,5,4.0,43,218.385,1
18,6,3,13,6,3.0,50,212.974,11
18,7,5,17,7,2.0,54,213.224,5
18,8,6,15,8,1.0,20,217.180,5
18,9,2,2,\N,0.0,15,215.100,4
18,10,7,18,\N,0.0,23,213.166,3
18,11,8,19,\N,0.0,24,210.038,7
18,12,4,20,\N,0.0,20,208.907,8
18,13,6,4,\N,0.0,23,216.510,5
18,14,9,8,\N,0.0,21,213.300,4
18,15,7,6,\N,0.0,18,213.758,10
18,16,10,22,\N,0.0,8,207.461,9
18,17,9,14,\N,0.0,\N,\N,4
18,18,11,12,\N,0.0,\N,\N,4
18,19,8,21,\N,0.0,\N,\N,4
18,20,5,9,\N,0.0,\N,\N,4
18,21,10,16,\N,0.0,\N,\N,4
18,22,11,10,\N,0.0,44,215.141,2
19,8,6,2,1,10.0,37,209.158,1
19,9,2,4,2,8.0,39,208.033,1
19,5,1,8,3,6.0,19,208.031,1
19,15,7,3,4,5.0,53,207.715,1
19,1,1,9,5,4.0,53,209.033,1
19,2,2,5,6,3.0,55,209.244,1
19,17,9,6,7,2.0,53,206.366,1
19,4,4,7,8,1.0,40,207.240,1
19,14,9,12,9,0.0,55,207.417,1
19,18,11,11,10,0.0,56,208.481,1
19,12,4,13,11,0.0,52,205.812,1
19,21,10,17,12,0.0,52,205.800,11
19,22,11,14,13,0.0,55,206.372,11
19,3,3,16,14,0.0,55,206.182,11
19,19,8,21,15,0.0,55,203.265,11
19,11,8,19,16,0.0,53,202.578,12
19,6,3,22,17,0.0,19,204.222,12
19,20,5,15,\N,0.0,37,205.995,5
19,13,6,1,\N,0.0,15,208.048,20
19,16,10,20,\N,0.0,3,198.891,9
19,10,7,10,\N,0.0,\N,\N,4
19,7,5,18,\N,0.0,\N,\N,20
20,13,6,2,1,10.0,38,208.153,1
20,8,6,4,2,8.0,35,207.911,1
20,9,2,1,3,6.0,55,207.765,1
20,2,2,6,4,5.0,48,208.231,1
20,5,1,5,5,4.0,49,209.062,1
20,15,7,7,6,3.0,45,206.819,1
20,17,9,11,7,2.0,51,206.597,1
20,3,3,8,8,1.0,57,207.109,1
20,10,7,13,9,0.0,56,205.503,1
20,4,4,10,10,0.0,35,204.668,1
20,22,11,12,11,0.0,40,205.399,1
20,21,10,18,12,0.0,56,204.963,11
20,1,1,3,13,0.0,25,203.969,11
20,6,3,16,14,0.0,30,204.155,11
20,7,5,15,15,0.0,33,204.369,11
20,19,8,21,16,0.0,45,204.389,11
20,11,8,22,17,0.0,56,203.180,11
20,14,9,17,18,0.0,43,204.331,11
20,16,10,20,19,0.0,55,204.136,12
20,12,4,14,\N,0.0,31,204.808,6
20,18,11,9,\N,0.0,11,202.686,4
20,20,5,19,\N,0.0,\N,\N,5
21,8,6,1,1,10.0,46,205.191,1
21,13,6,3,2,8.0,45,204.863,1
21,1,1,5,3,6.0,20,204.323,1
21,9,2,4,4,5.0,20,204.102,1
21,17,9,7,5,4.0,19,202.969,1
21,18,11,13,6,3.0,66,203.489,1
21,6,3,12,7,2.0,48,200.576,1
21,15,7,8,8,1.0,45,202.494,1
21,2,2,9,9,0.0,21,203.080,1
21,21,10,19,10,0.0,40,200.841,11
