resultId,number,positionText,positionOrder,laps,time,milliseconds,rank,fastestLapTime
1,22,1,1,58,1:34:50.616,5690616,2,1:27.452
2,3,2,2,58,+5.478,5696094,3,1:27.739
3,7,3,3,58,+8.163,5698779,5,1:28.090
4,5,4,4,58,+17.181,5707797,7,1:28.603
5,23,5,5,58,+18.014,5708630,1,1:27.418
6,8,6,6,57,\N,\N,14,1:29.639
7,14,7,7,55,\N,\N,8,1:29.534
8,1,8,8,53,\N,\N,4,1:27.903
9,4,R,9,47,\N,\N,9,1:28.753
10,12,R,10,43,\N,\N,13,1:29.558
11,18,R,11,32,\N,\N,15,1:30.892
12,6,R,12,30,\N,\N,16,1:31.384
13,2,R,13,29,\N,\N,6,1:28.175
14,9,R,14,25,\N,\N,11,1:29.502
15,11,R,15,19,\N,\N,10,1:29.310
16,20,R,16,8,\N,\N,17,1:32.021
17,10,R,17,0,\N,\N,\N,\N
18,16,R,18,0,\N,\N,\N,\N
19,19,R,19,0,\N,\N,\N,\N
20,15,R,20,0,\N,\N,\N,\N
21,21,R,21,0,\N,\N,\N,\N
22,17,D,22,58,\N,\N,8,1:28.736
23,1,1,1,56,1:31:18.555,5478555,2,1:35.405
24,4,2,2,56,+19.570,5498125,6,1:35.921
25,23,3,3,56,+38.450,5517005,7,1:35.922
26,11,4,4,56,+45.832,5524387,8,1:36.068
27,22,5,5,56,+46.548,5525103,3,1:35.462
28,3,6,6,56,+49.833,5528388,1,1:35.366
29,10,7,7,56,+1:08.130,5546685,12,1:36.696
30,5,8,8,56,+1:10.041,5548596,10,1:36.288
31,9,9,9,56,+1:16.220,5554775,9,1:36.206
32,16,10,10,56,+1:26.214,5564769,4,1:35.715
33,6,11,11,56,+1:32.202,5570757,15,1:36.956
34,21,12,12,55,\N,\N,16,1:36.962
35,17,13,13,55,\N,\N,11,1:36.693
36,7,14,14,55,\N,\N,13,1:36.782
37,19,15,15,55,\N,\N,18,1:38.171
38,18,16,16,54,\N,\N,19,1:38.504
39,8,17,17,54,\N,\N,17,1:37.711
40,15,R,18,39,\N,\N,14,1:36.870
41,2,R,19,30,\N,\N,5,1:35.914
42,20,R,20,5,\N,\N,20,1:40.330
43,12,R,21,1,\N,\N,\N,\N
44,14,R,22,0,\N,\N,\N,\N
45,2,1,1,57,1:31:06.970,5466970,3,1:33.600
46,1,2,2,57,+3.339,5470309,4,1:33.709
47,4,3,3,57,+4.998,5471968,5,1:33.775
48,3,4,4,57,+8.409,5475379,2,1:33.565
49,23,5,5,57,+26.789,5493759,1,1:33.193
50,11,6,6,57,+41.314,5508284,7,1:34.204
51,10,7,7,57,+45.473,5512443,8,1:34.305
52,7,8,8,57,+55.889,5522859,6,1:34.072
53,12,9,9,57,+1:09.500,5536470,9,1:34.807
54,5,10,10,57,+1:17.181,5544151,13,1:35.194
55,17,11,11,57,+1:17.862,5544832,10,1:34.855
56,21,12,12,56,\N,\N,11,1:35.057
57,22,13,13,56,\N,\N,19,1:35.520
58,8,14,14,56,\N,\N,17,1:35.433
59,14,15,15,56,\N,\N,15,1:35.333
60,19,16,16,56,\N,\N,14,1:35.324
