raceId,driverId,constructorId,grid,position,points,fastestLap,statusId
1061,830,9,2,1,3,14,1
1061,1,131,1,2,2,17,1
1061,822,131,3,3,1,17,1
1061,844,6,4,4,0,16,1
1061,846,1,6,5,0,16,1
1061,817,1,7,6,0,17,1
1061,4,214,11,7,0,17,1
1061,20,117,10,8,0,17,1
1061,847,3,8,9,0,17,1
1061,839,214,13,10,0,16,1
1061,832,6,9,11,0,10,1
1061,842,213,12,12,0,17,1
1061,8,51,17,13,0,12,1
1061,840,117,15,14,0,12,1
1061,841,51,14,15,0,14,1
1061,852,213,16,16,0,14,1
1061,849,3,18,17,0,17,1
1061,854,210,19,18,0,15,1
1061,853,210,20,19,0,3,1
1061,815,9,5,\N,0,6,76
1065,822,131,1,1,3,9,1
1065,830,9,3,2,2,9,1
1065,817,1,5,3,1,17,1
1065,846,1,4,4,0,9,1
1065,1,131,2,5,0,9,1
1065,844,6,8,6,0,18,1
1065,832,6,7,7,0,8,1
1065,841,51,10,8,0,10,1
1065,815,9,9,9,0,12,1
1065,840,117,12,10,0,8,1
1065,4,214,13,11,0,8,1
1065,20,117,11,12,0,8,1
1065,839,214,14,13,0,8,1
1065,849,3,16,14,0,9,1
1065,847,3,15,15,0,15,1
1065,852,213,17,16,0,18,1
1065,853,210,20,17,0,7,1
1065,9,51,19,18,0,12,1
1065,854,210,18,19,0,7,1
1065,842,213,6,\N,0,\N,3
1071,822,131,2,1,3,8,1
1071,830,9,1,2,2,9,1
1071,832,6,5,3,1,13,1
1071,815,9,3,4,0,13,1
1071,1,131,20,5,0,5,1
1071,846,1,7,6,0,8,1
1071,844,6,6,7,0,4,1
1071,842,213,4,8,0,4,1
1071,839,214,10,9,0,11,1
1071,20,117,11,10,0,5,1
1071,817,1,8,11,0,9,1
1071,4,214,9,12,0,4,1
1071,841,51,14,13,0,11,1
1071,840,117,15,14,0,9,1
1071,852,213,12,15,0,11,1
1071,849,3,16,16,0,7,1
1071,847,3,17,17,0,14,1
1071,8,51,13,18,0,9,1
1071,854,210,18,19,0,9,1
