resultId,number,positionText,positionOrder,laps,time,milliseconds,fastestLapTime
1,33,1,1,17,25:38.426,1538426,1:30.013
2,44,2,2,17,+1.430,1539856,1:29.937
3,77,3,3,17,+7.502,1545928,1:29.958
4,16,4,4,17,+11.278,1549704,1:30.163
5,4,5,5,17,+24.111,1562537,1:30.566
6,3,6,6,17,+30.959,1569385,1:30.640
7,14,7,7,17,+43.527,1581953,1:31.773
8,5,8,8,17,+44.439,1582865,1:31.687
9,63,9,9,17,+46.652,1585078,1:32.208
10,31,10,10,17,+47.395,1585821,1:32.183
11,55,11,11,17,+47.798,1586224,1:31.991
12,10,12,12,17,+48.763,1587189,1:32.072
13,7,13,13,17,+50.677,1589103,1:32.139
14,18,14,14,17,+52.179,1590605,1:32.210
15,99,15,15,17,+53.225,1591651,1:32.457
16,22,16,16,17,+53.567,1591993,1:32.270
17,6,17,17,17,+55.162,1593588,1:32.143
18,47,18,18,17,+1:08.213,1606639,1:32.567
19,9,19,19,17,+1:17.648,1616074,1:33.462
20,11,R,20,16,\N,\N,1:31.465
21,77,1,1,18,27:54.078,1674078,1:23.540
22,33,2,2,18,+2.325,1676403,1:23.502
23,3,3,3,18,+14.534,1688612,1:24.291
24,4,4,4,18,+18.835,1692913,1:24.554
25,44,5,5,18,+20.011,1694089,1:24.253
26,16,6,6,18,+23.442,1697520,1:24.677
27,55,7,7,18,+27.952,1702030,1:24.918
28,99,8,8,18,+31.089,1705167,1:25.126
29,11,9,9,18,+31.680,1705758,1:24.211
30,18,10,10,18,+38.671,1712749,1:25.349
31,14,11,11,18,+39.795,1713873,1:25.225
32,5,12,12,18,+41.177,1715255,1:25.493
33,31,13,13,18,+43.373,1717451,1:25.613
34,6,14,14,18,+45.977,1720055,1:25.711
35,63,15,15,18,+46.821,1720899,1:25.835
36,22,16,16,18,+49.977,1724055,1:25.847
37,9,17,17,18,+1:02.599,1736677,1:26.613
38,88,18,18,18,+1:05.096,1739174,1:26.772
39,47,19,19,18,+1:06.154,1740232,1:26.819
40,10,R,20,0,\N,\N,\N
41,77,1,1,24,29:09.559,1749559,1:12.300
42,33,2,2,24,+1.170,1750729,1:12.114
43,55,3,3,24,+18.723,1768282,1:13.167
44,11,4,4,24,+19.787,1769346,1:13.110
45,44,5,5,24,+20.872,1770431,1:12.357
46,4,6,6,24,+22.558,1772117,1:12.994
47,16,7,7,24,+25.056,1774615,1:13.140
48,10,8,8,24,+34.158,1783717,1:13.342
49,31,9,9,24,+34.632,1784191,1:13.615
50,5,10,10,24,+34.867,1784426,1:13.558
51,3,11,11,24,+35.869,1785428,1:13.463
52,14,12,12,24,+36.578,1786137,1:13.397
53,99,13,13,24,+41.880,1791439,1:13.627
54,18,14,14,24,+44.037,1793596,1:13.666
55,22,15,15,24,+46.150,1795709,1:13.747
56,6,16,16,24,+46.760,1796319,1:13.934
57,63,17,17,24,+47.739,1797298,1:14.056
58,7,18,18,24,+50.014,1799573,1:13.900
59,47,19,19,24,+1:01.680,1811239,1:14.387
60,9,20,20,24,+1:07.474,1817033,1:14.583
61,1,1,1,21,30:39.567,1839567,1:19.154
62,16,2,2,21,+2.975,1842542,1:19.044
63,11,3,3,21,+4.721,1844288,1:19.012
64,55,4,4,21,+17.578,1857145,1:19.251
65,4,5,5,21,+24.561,1864128,1:20.030
66,3,6,6,21,+27.740,1867307,1:20.328
67,77,7,7,21,+28.133,1867700,1:20.219
68,20,8,8,21,+30.712,1870279,1:20.557
69,14,9,9,21,+32.278,1871845,1:20.639
70,47,10,10,21,+33.773,1873340,1:20.567
71,63,11,11,21,+36.284,1875851,1:20.756
72,22,12,12,21,+38.298,1877865,1:20.909
